"x" "y"
28.3 8
26 4
25.6 0
21 0
29 1
25 3
26.2 0
24.9 0
25.7 8
27.5 6
26.1 5
28.9 4
30.3 3
22.9 4
26.2 3
24.5 5
30 8
26.2 3
25.4 6
25.4 4
27.5 0
27 3
24 0
28.7 0
26.5 1
24.5 1
27.3 1
26.5 4
25 2
22 0
30.2 2
25.4 0
24.9 6
25.8 10
27.2 5
30.5 3
25 8
30 9
22.9 0
23.9 2
26 3
25.8 0
29 4
26.5 0
22.5 0
23.8 0
24.3 0
26 14
24.7 0
22.5 1
28.7 3
29.3 4
26.7 5
23.4 0
27.7 6
28.2 6
24.7 5
25.7 5
27.8 0
27 3
29 10
25.6 7
24.2 0
25.7 0
23.1 0
28.5 0
29.7 5
23.1 0
24.5 1
27.5 1
26.3 1
27.8 3
31.9 2
25 5
26.2 0
28.4 3
24.5 6
27.9 7
25 6
29 3
31.7 4
27.6 4
24.5 0
23.8 0
28.2 8
24.1 0
28 0
26 9
24.7 0
25.8 0
27.1 8
27.4 5
26.7 2
26.8 5
25.8 0
23.7 0
27.9 6
30 5
25 4
27.7 5
28.3 15
25.5 0
26 5
26.2 0
23 1
22.9 0
25.1 5
25.9 4
25.5 0
26.8 0
29 1
28.5 1
24.7 4
29 1
27 6
23.7 0
27 6
24.2 2
22.5 4
25.1 0
24.9 0
27.5 6
24.3 0
29.5 4
26.2 0
24.7 4
29.8 4
25.7 0
26.2 2
27 0
24.8 0
23.7 0
28.2 11
25.2 1
23.2 4
25.8 3
27.5 0
25.7 0
26.8 0
27.5 3
28.5 9
28.5 3
27.4 6
27.2 3
27.1 0
28 1
26.5 0
23 0
26 3
24.5 0
25.8 0
23.5 0
26.7 0
25.5 0
28.2 1
25.2 1
25.3 2
25.7 0
29.3 12
23.8 6
27.4 3
26.2 2
28 4
28.4 5
33.5 7
25.8 0
24 10
23.1 0
28.3 0
26.5 4
26.5 7
26.1 3
24.5 0
